measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Brazil,Both,<5 years,All causes,High fasting plasma glucose,Number,1990,15074.114973625032,19173.65510344136,9694.259696886123
DALYs (Disability-Adjusted Life Years),Brazil,Male,5-9 years,All causes,High fasting plasma glucose,Number,1990,1905.6690107485354,2352.4967470725574,1451.6416822522801
DALYs (Disability-Adjusted Life Years),Brazil,Female,5-9 years,All causes,High fasting plasma glucose,Number,1990,2302.6692545751935,3010.1562294827427,1572.7078564506405
DALYs (Disability-Adjusted Life Years),Brazil,Both,5-9 years,All causes,High fasting plasma glucose,Number,1990,4208.338265323726,5077.787801610686,3298.9449928486133
DALYs (Disability-Adjusted Life Years),Brazil,Male,10-14 years,All causes,High fasting plasma glucose,Number,1990,2024.0367249113976,2464.5902027057837,1571.3656258870992
DALYs (Disability-Adjusted Life Years),Brazil,Female,10-14 years,All causes,High fasting plasma glucose,Number,1990,3953.1579695510395,4987.662784683646,2633.990265795383
DALYs (Disability-Adjusted Life Years),Brazil,Both,10-14 years,All causes,High fasting plasma glucose,Number,1990,5977.194694462441,7319.9220873698305,4488.170276430574
DALYs (Disability-Adjusted Life Years),Brazil,Male,15-19 years,All causes,High fasting plasma glucose,Number,1990,4506.118979871535,5262.800720649587,3866.5678077677653
DALYs (Disability-Adjusted Life Years),Argentina,Male,80-84,All causes,High fasting plasma glucose,Number,1990,19300.829265104636,26498.44036890599,13843.043350634234
DALYs (Disability-Adjusted Life Years),Argentina,Female,80-84,All causes,High fasting plasma glucose,Number,1990,28148.682655609384,43533.72759607166,20009.748001587537
DALYs (Disability-Adjusted Life Years),Argentina,Both,80-84,All causes,High fasting plasma glucose,Number,1990,47449.51192071405,67382.08320043335,33991.507605665705
DALYs (Disability-Adjusted Life Years),Argentina,Male,85-89,All causes,High fasting plasma glucose,Number,1990,7375.029031488332,10551.917346437216,5049.85053969346
DALYs (Disability-Adjusted Life Years),Argentina,Female,85-89,All causes,High fasting plasma glucose,Number,1990,13236.274905775861,19502.740414669257,8718.191704215264
DALYs (Disability-Adjusted Life Years),Argentina,Both,85-89,All causes,High fasting plasma glucose,Number,1990,20611.30393726416,29823.724826972157,14115.085403541447
DALYs (Disability-Adjusted Life Years),Argentina,Male,90-94,All causes,High fasting plasma glucose,Number,1990,2103.998144815733,3106.5452086080068,1422.4079348850453
DALYs (Disability-Adjusted Life Years),Argentina,Female,90-94,All causes,High fasting plasma glucose,Number,1990,5099.151766837084,7570.841154697244,3370.7312190558096
DALYs (Disability-Adjusted Life Years),Argentina,Both,90-94,All causes,High fasting plasma glucose,Number,1990,7203.149911652824,10443.157132470533,4833.000792607553
DALYs (Disability-Adjusted Life Years),Brazil,Both,75-79 years,All causes,High fasting plasma glucose,Number,1990,258142.0544376402,335947.8007409443,200348.94917258335
DALYs (Disability-Adjusted Life Years),Brazil,Male,80-84,All causes,High fasting plasma glucose,Number,1990,68111.6829982258,108452.55084119948,44239.656343944225
DALYs (Disability-Adjusted Life Years),Brazil,Female,80-84,All causes,High fasting plasma glucose,Number,1990,83453.21950933458,129008.32563406939,58138.13099458945
DALYs (Disability-Adjusted Life Years),Brazil,Both,80-84,All causes,High fasting plasma glucose,Number,1990,151564.90250756041,233702.44874614925,103110.35150361876
DALYs (Disability-Adjusted Life Years),Brazil,Male,85-89,All causes,High fasting plasma glucose,Number,1990,27826.16601110492,43670.654365817114,18080.886213970774
DALYs (Disability-Adjusted Life Years),Brazil,Female,85-89,All causes,High fasting plasma glucose,Number,1990,40772.46199774869,62272.3797616868,27831.791291827423
DALYs (Disability-Adjusted Life Years),Brazil,Both,85-89,All causes,High fasting plasma glucose,Number,1990,68598.62800885367,105246.63301005772,46434.522353708126
DALYs (Disability-Adjusted Life Years),Brazil,Female,15-19 years,All causes,High fasting plasma glucose,Number,1990,7754.690699612647,8786.083953914265,6906.492100670684
DALYs (Disability-Adjusted Life Years),Brazil,Both,15-19 years,All causes,High fasting plasma glucose,Number,1990,12260.809679484182,13999.212856879962,10844.862832362329
DALYs (Disability-Adjusted Life Years),Brazil,Male,20-24 years,All causes,High fasting plasma glucose,Number,1990,8136.632938441407,9595.209516048159,6971.129917103546
DALYs (Disability-Adjusted Life Years),Brazil,Female,20-24 years,All causes,High fasting plasma glucose,Number,1990,10378.339383725286,12141.346946280693,8984.617241756414
DALYs (Disability-Adjusted Life Years),Brazil,Both,20-24 years,All causes,High fasting plasma glucose,Number,1990,18514.97232216669,21607.97649627504,16039.421377291563
DALYs (Disability-Adjusted Life Years),Brazil,Male,95+ years,All causes,High fasting plasma glucose,Number,1990,1395.2335802533269,2297.2321719275174,855.403361149971
DALYs (Disability-Adjusted Life Years),Brazil,Female,95+ years,All causes,High fasting plasma glucose,Number,1990,2317.9350453948805,3551.199001665751,1559.9248877992106
DALYs (Disability-Adjusted Life Years),Brazil,Both,95+ years,All causes,High fasting plasma glucose,Number,1990,3713.168625648212,5658.775177393775,2439.196167247915
DALYs (Disability-Adjusted Life Years),Guyana,Male,5-9 years,All causes,High fasting plasma glucose,Number,1990,14.498458600292828,20.20760768431123,8.270256221798977
DALYs (Disability-Adjusted Life Years),Guyana,Female,5-9 years,All causes,High fasting plasma glucose,Number,1990,24.715785840093023,35.79468170555895,13.092704732787206
DALYs (Disability-Adjusted Life Years),Guyana,Both,5-9 years,All causes,High fasting plasma glucose,Number,1990,39.214244440385805,52.65495251772046,23.188013626217618
DALYs (Disability-Adjusted Life Years),Guyana,Male,10-14 years,All causes,High fasting plasma glucose,Number,1990,21.038110380020065,29.834414230515485,11.95135430580979
DALYs (Disability-Adjusted Life Years),Guyana,Female,10-14 years,All causes,High fasting plasma glucose,Number,1990,34.842400630896066,48.23553942100102,18.349666682526998
DALYs (Disability-Adjusted Life Years),Guyana,Both,10-14 years,All causes,High fasting plasma glucose,Number,1990,55.88051101091622,73.74727934488554,34.030750014313
DALYs (Disability-Adjusted Life Years),Guyana,Male,15-19 years,All causes,High fasting plasma glucose,Number,1990,51.7495089299771,65.94859593810742,38.37269917386553
DALYs (Disability-Adjusted Life Years),Guyana,Female,15-19 years,All causes,High fasting plasma glucose,Number,1990,113.50355066231998,149.3530384581035,81.90000809339409
DALYs (Disability-Adjusted Life Years),Guyana,Both,15-19 years,All causes,High fasting plasma glucose,Number,1990,165.25305959229695,207.76645510027524,127.46650349537656
DALYs (Disability-Adjusted Life Years),Guyana,Male,20-24 years,All causes,High fasting plasma glucose,Number,1990,107.88184745606476,137.13139970467637,82.41153465564388
DALYs (Disability-Adjusted Life Years),Guyana,Female,20-24 years,All causes,High fasting plasma glucose,Number,1990,171.55690427006235,217.019393943153,131.7219495293203
DALYs (Disability-Adjusted Life Years),Guyana,Both,20-24 years,All causes,High fasting plasma glucose,Number,1990,279.4387517261271,342.4478688222284,222.6071359265799
DALYs (Disability-Adjusted Life Years),Guyana,Male,25-29 years,All causes,High fasting plasma glucose,Number,1990,258.2029729116531,344.1935392811425,188.03414813132366
DALYs (Disability-Adjusted Life Years),Guyana,Female,25-29 years,All causes,High fasting plasma glucose,Number,1990,241.84281702154914,318.67867098515745,172.0358727779232
DALYs (Disability-Adjusted Life Years),Guyana,Both,25-29 years,All causes,High fasting plasma glucose,Number,1990,500.04578993320274,639.133921973654,377.82668509865346
DALYs (Disability-Adjusted Life Years),Guyana,Male,30-34 years,All causes,High fasting plasma glucose,Number,1990,357.78031144268164,464.2476225064329,268.33770991565467
DALYs (Disability-Adjusted Life Years),Guyana,Female,30-34 years,All causes,High fasting plasma glucose,Number,1990,307.76961500157523,398.38553473856626,232.1330692492909
DALYs (Disability-Adjusted Life Years),Guyana,Both,30-34 years,All causes,High fasting plasma glucose,Number,1990,665.5499264442567,834.0578555030382,520.8094307914836
DALYs (Disability-Adjusted Life Years),Argentina,Male,20-24 years,All causes,High fasting plasma glucose,Number,1990,667.8417516551897,832.6878800856697,539.9302317191833
DALYs (Disability-Adjusted Life Years),Argentina,Female,20-24 years,All causes,High fasting plasma glucose,Number,1990,917.2655320071764,1124.4095452789632,740.4894907656351
DALYs (Disability-Adjusted Life Years),Argentina,Both,20-24 years,All causes,High fasting plasma glucose,Number,1990,1585.1072836623664,1890.5127265054648,1337.9680110406932
DALYs (Disability-Adjusted Life Years),Argentina,Male,25-29 years,All causes,High fasting plasma glucose,Number,1990,2083.212849036503,3344.382867606657,1319.2578607685227
DALYs (Disability-Adjusted Life Years),Argentina,Female,25-29 years,All causes,High fasting plasma glucose,Number,1990,2158.9984877168827,3235.3406649220688,1498.9421075440846
DALYs (Disability-Adjusted Life Years),Argentina,Both,25-29 years,All causes,High fasting plasma glucose,Number,1990,4242.2113367533875,6205.459048233782,2955.6863415142457
DALYs (Disability-Adjusted Life Years),Argentina,Male,30-34 years,All causes,High fasting plasma glucose,Number,1990,3381.8267905695952,5035.262158937643,2363.0818021483606
DALYs (Disability-Adjusted Life Years),Argentina,Female,30-34 years,All causes,High fasting plasma glucose,Number,1990,2996.244845127322,4245.096035443801,2202.0201331265166
DALYs (Disability-Adjusted Life Years),Argentina,Both,30-34 years,All causes,High fasting plasma glucose,Number,1990,6378.071635696913,8863.709858459564,4675.018762872463
DALYs (Disability-Adjusted Life Years),Argentina,Male,35-39 years,All causes,High fasting plasma glucose,Number,1990,5605.945681801642,7783.345224135579,4085.8748048238335
DALYs (Disability-Adjusted Life Years),Argentina,Female,35-39 years,All causes,High fasting plasma glucose,Number,1990,4371.021758673798,5967.157949736622,3278.4524518023954
DALYs (Disability-Adjusted Life Years),Argentina,Both,35-39 years,All causes,High fasting plasma glucose,Number,1990,9976.967440475422,13057.936079159634,7548.3289877020525
DALYs (Disability-Adjusted Life Years),Argentina,Male,40-44 years,All causes,High fasting plasma glucose,Number,1990,9333.916271068894,12875.687868623783,6891.322590000887
DALYs (Disability-Adjusted Life Years),Argentina,Female,40-44 years,All causes,High fasting plasma glucose,Number,1990,6127.858383373938,7982.395969970554,4721.17090050629
DALYs (Disability-Adjusted Life Years),Argentina,Both,40-44 years,All causes,High fasting plasma glucose,Number,1990,15461.774654442856,20333.923876920002,11811.508946899516
DALYs (Disability-Adjusted Life Years),Argentina,Male,45-49 years,All causes,High fasting plasma glucose,Number,1990,14666.08670615893,19471.955181298574,11272.304886249196
DALYs (Disability-Adjusted Life Years),Argentina,Female,45-49 years,All causes,High fasting plasma glucose,Number,1990,9114.959735198132,11584.816188909439,7202.712363931073
DALYs (Disability-Adjusted Life Years),Argentina,Both,45-49 years,All causes,High fasting plasma glucose,Number,1990,23781.046441357084,29930.911651871735,18874.45921258071
DALYs (Disability-Adjusted Life Years),Argentina,Male,50-54 years,All causes,High fasting plasma glucose,Number,1990,22220.226483218357,28386.583238240593,17500.408211566915
DALYs (Disability-Adjusted Life Years),Argentina,Female,50-54 years,All causes,High fasting plasma glucose,Number,1990,13777.14854059847,16893.642301226617,11292.668478126689
DALYs (Disability-Adjusted Life Years),Argentina,Both,50-54 years,All causes,High fasting plasma glucose,Number,1990,35997.37502381686,44009.60954554759,29337.548760300684
DALYs (Disability-Adjusted Life Years),Peru,Male,10-14 years,All causes,High fasting plasma glucose,Number,1990,127.4934105165388,190.22872782009054,82.35382673671792
DALYs (Disability-Adjusted Life Years),Peru,Female,10-14 years,All causes,High fasting plasma glucose,Number,1990,241.58315376408677,346.96172788337213,157.36916675253178
DALYs (Disability-Adjusted Life Years),Peru,Both,10-14 years,All causes,High fasting plasma glucose,Number,1990,369.0765642806255,513.5012110388195,256.5976938681149
DALYs (Disability-Adjusted Life Years),Peru,Male,15-19 years,All causes,High fasting plasma glucose,Number,1990,363.15870391809375,495.14409722617427,255.96135359434393
DALYs (Disability-Adjusted Life Years),Peru,Female,15-19 years,All causes,High fasting plasma glucose,Number,1990,468.31604712733366,614.4348288372994,344.2160764906372
DALYs (Disability-Adjusted Life Years),Peru,Both,15-19 years,All causes,High fasting plasma glucose,Number,1990,831.4747510454271,1068.8616289862464,624.488149691956
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Male,80-84,All causes,High fasting plasma glucose,Number,2019,7882.069401429147,11615.777399405395,5170.656789553791
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Female,80-84,All causes,High fasting plasma glucose,Number,2019,9580.055153890187,14483.200300709475,6870.676690873073
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,80-84,All causes,High fasting plasma glucose,Number,2019,17462.124555319326,24987.655829999985,12645.723483455606
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Male,85-89,All causes,High fasting plasma glucose,Number,2019,3725.8599167030898,5778.714250120961,2380.6325596237316
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Female,85-89,All causes,High fasting plasma glucose,Number,2019,4526.932974451876,7351.254292134287,3048.281148503084
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,85-89,All causes,High fasting plasma glucose,Number,2019,8252.792891154962,12437.023969808804,5557.237154551549
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Male,90-94,All causes,High fasting plasma glucose,Number,2019,1232.745367000123,2060.7384531769217,736.5096076106097
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Female,90-94,All causes,High fasting plasma glucose,Number,2019,1408.038318671643,2348.706354703773,930.4545428188661
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,90-94,All causes,High fasting plasma glucose,Number,2019,2640.7836856717663,4190.611520017337,1736.9853261869928
DALYs (Disability-Adjusted Life Years),Brazil,Male,90-94,All causes,High fasting plasma glucose,Number,1990,7064.095020044315,11369.113431318154,4339.847482073547
DALYs (Disability-Adjusted Life Years),Brazil,Female,90-94,All causes,High fasting plasma glucose,Number,1990,10754.020122140768,16898.381019055727,7035.106850978602
DALYs (Disability-Adjusted Life Years),Brazil,Both,90-94,All causes,High fasting plasma glucose,Number,1990,17818.1151421851,27624.60533279561,11565.900324842514
DALYs (Disability-Adjusted Life Years),Argentina,Male,95+ years,All causes,High fasting plasma glucose,Number,2019,2342.0340367604545,3959.2412612866483,1558.0077261259473
DALYs (Disability-Adjusted Life Years),Argentina,Female,95+ years,All causes,High fasting plasma glucose,Number,2019,5768.680436680101,9030.34194440566,3864.6458109290443
DALYs (Disability-Adjusted Life Years),Argentina,Both,95+ years,All causes,High fasting plasma glucose,Number,2019,8110.714473440541,12863.498273400435,5499.672790952362
DALYs (Disability-Adjusted Life Years),Peru,Male,20-24 years,All causes,High fasting plasma glucose,Number,1990,561.4699251287221,753.5707026489462,403.01203098797134
DALYs (Disability-Adjusted Life Years),Peru,Female,20-24 years,All causes,High fasting plasma glucose,Number,1990,697.6886489709959,923.8753487724271,498.3815663795961
DALYs (Disability-Adjusted Life Years),Peru,Both,20-24 years,All causes,High fasting plasma glucose,Number,1990,1259.158574099718,1629.814920543031,927.6125075322834
DALYs (Disability-Adjusted Life Years),Peru,Male,25-29 years,All causes,High fasting plasma glucose,Number,1990,1444.9062029120926,2105.120703162669,1017.4633571151132
DALYs (Disability-Adjusted Life Years),Peru,Female,25-29 years,All causes,High fasting plasma glucose,Number,1990,1483.4350253479101,2116.6951358826554,1051.0144408063668
DALYs (Disability-Adjusted Life Years),Peru,Both,25-29 years,All causes,High fasting plasma glucose,Number,1990,2928.341228260006,4090.929000680625,2131.4406806801417
DALYs (Disability-Adjusted Life Years),Peru,Male,30-34 years,All causes,High fasting plasma glucose,Number,1990,1897.6039725570836,2601.6516130707264,1403.6483963744201
DALYs (Disability-Adjusted Life Years),Peru,Female,30-34 years,All causes,High fasting plasma glucose,Number,1990,1753.2554801634126,2410.458019910157,1300.5357190251711
DALYs (Disability-Adjusted Life Years),Peru,Both,30-34 years,All causes,High fasting plasma glucose,Number,1990,3650.859452720493,4808.451677606005,2790.488208135965
DALYs (Disability-Adjusted Life Years),Peru,Male,35-39 years,All causes,High fasting plasma glucose,Number,1990,2536.4190900434382,3307.6978714370616,1934.4646931925095
DALYs (Disability-Adjusted Life Years),Peru,Female,35-39 years,All causes,High fasting plasma glucose,Number,1990,2246.5937039851106,2969.333903885505,1717.721306294285
DALYs (Disability-Adjusted Life Years),Peru,Both,35-39 years,All causes,High fasting plasma glucose,Number,1990,4783.012794028549,6100.078651634002,3717.6914062465758
DALYs (Disability-Adjusted Life Years),Peru,Male,40-44 years,All causes,High fasting plasma glucose,Number,1990,3419.991980562668,4463.370224935275,2663.1379483566207
DALYs (Disability-Adjusted Life Years),Peru,Female,40-44 years,All causes,High fasting plasma glucose,Number,1990,2745.8137452044048,3501.1140017301477,2108.865197311202
DALYs (Disability-Adjusted Life Years),Peru,Both,40-44 years,All causes,High fasting plasma glucose,Number,1990,6165.805725767083,7838.466690581051,4909.336585554028
DALYs (Disability-Adjusted Life Years),Peru,Male,45-49 years,All causes,High fasting plasma glucose,Number,1990,4901.560322603084,6169.712638284458,3879.121757269193
DALYs (Disability-Adjusted Life Years),Peru,Female,45-49 years,All causes,High fasting plasma glucose,Number,1990,3898.447540554748,4926.353079659772,3043.9389372760274
DALYs (Disability-Adjusted Life Years),Peru,Both,45-49 years,All causes,High fasting plasma glucose,Number,1990,8800.007863157833,10943.418649011839,7067.662945560319
DALYs (Disability-Adjusted Life Years),Peru,Male,50-54 years,All causes,High fasting plasma glucose,Number,1990,6539.922186292174,8221.932534719663,5166.229087332161
DALYs (Disability-Adjusted Life Years),Peru,Female,50-54 years,All causes,High fasting plasma glucose,Number,1990,5221.868223458475,6491.587231190874,4113.47838174797
DALYs (Disability-Adjusted Life Years),Peru,Both,50-54 years,All causes,High fasting plasma glucose,Number,1990,11761.790409750649,14522.2833659961,9456.51564551293
DALYs (Disability-Adjusted Life Years),Peru,Male,55-59 years,All causes,High fasting plasma glucose,Number,1990,8104.658400068401,10284.576073850945,6352.120871544049
DALYs (Disability-Adjusted Life Years),Peru,Female,55-59 years,All causes,High fasting plasma glucose,Number,1990,6665.919092137888,8245.169452675575,5318.714074160376
DALYs (Disability-Adjusted Life Years),Peru,Both,55-59 years,All causes,High fasting plasma glucose,Number,1990,14770.577492206294,18176.388151410756,12058.08898017225
DALYs (Disability-Adjusted Life Years),Peru,Male,60-64 years,All causes,High fasting plasma glucose,Number,1990,9389.071002818153,11540.364475366838,7415.516357115821
DALYs (Disability-Adjusted Life Years),Peru,Female,60-64 years,All causes,High fasting plasma glucose,Number,1990,8140.019648670092,10008.010712999514,6597.0197575272305
DALYs (Disability-Adjusted Life Years),Peru,Both,60-64 years,All causes,High fasting plasma glucose,Number,1990,17529.090651488223,21268.514175737047,14374.622830412996
DALYs (Disability-Adjusted Life Years),Peru,Male,65-69 years,All causes,High fasting plasma glucose,Number,1990,9017.830758864651,11312.679374419411,6981.199734653026
DALYs (Disability-Adjusted Life Years),Peru,Female,65-69 years,All causes,High fasting plasma glucose,Number,1990,8246.72159356661,10166.673204170733,6607.428390064784
DALYs (Disability-Adjusted Life Years),Peru,Both,65-69 years,All causes,High fasting plasma glucose,Number,1990,17264.552352431256,21096.12780235718,13955.279472388742
DALYs (Disability-Adjusted Life Years),Brazil,Male,25-29 years,All causes,High fasting plasma glucose,Number,1990,20033.20287719824,26759.0273713737,15450.555903223218
DALYs (Disability-Adjusted Life Years),Brazil,Female,25-29 years,All causes,High fasting plasma glucose,Number,1990,18458.38269286765,23580.529196028452,14776.997463840273
DALYs (Disability-Adjusted Life Years),Brazil,Both,25-29 years,All causes,High fasting plasma glucose,Number,1990,38491.585570065916,49486.418575247546,30924.688081374694
DALYs (Disability-Adjusted Life Years),Brazil,Male,30-34 years,All causes,High fasting plasma glucose,Number,1990,31739.877543925366,41126.66126398186,24404.44066082971
DALYs (Disability-Adjusted Life Years),Brazil,Female,30-34 years,All causes,High fasting plasma glucose,Number,1990,25141.802091084875,32721.673121542935,19690.67977748307
DALYs (Disability-Adjusted Life Years),Brazil,Both,30-34 years,All causes,High fasting plasma glucose,Number,1990,56881.67963501023,71924.74505631135,44666.71386682979
DALYs (Disability-Adjusted Life Years),Brazil,Male,35-39 years,All causes,High fasting plasma glucose,Number,1990,44809.942715373596,56376.54524056956,36322.77604856925
DALYs (Disability-Adjusted Life Years),Brazil,Female,35-39 years,All causes,High fasting plasma glucose,Number,1990,33889.61194373144,41578.057449741755,27351.22615224957
DALYs (Disability-Adjusted Life Years),Brazil,Both,35-39 years,All causes,High fasting plasma glucose,Number,1990,78699.55465910501,95464.27153261683,64487.26373710636
DALYs (Disability-Adjusted Life Years),Brazil,Male,40-44 years,All causes,High fasting plasma glucose,Number,1990,59432.30229770757,73920.12664863712,47827.358084409854
DALYs (Disability-Adjusted Life Years),Brazil,Female,40-44 years,All causes,High fasting plasma glucose,Number,1990,45729.72711308306,55479.3295289904,37163.00349264692
DALYs (Disability-Adjusted Life Years),Brazil,Both,40-44 years,All causes,High fasting plasma glucose,Number,1990,105162.02941079052,127717.64543712966,86302.68758277841
DALYs (Disability-Adjusted Life Years),Brazil,Male,45-49 years,All causes,High fasting plasma glucose,Number,1990,82081.9168336177,100387.61354983001,67376.78349769772
DALYs (Disability-Adjusted Life Years),Brazil,Female,45-49 years,All causes,High fasting plasma glucose,Number,1990,64925.0250916612,77676.25125404028,54208.2040331262
DALYs (Disability-Adjusted Life Years),Brazil,Both,45-49 years,All causes,High fasting plasma glucose,Number,1990,147006.94192527895,174187.42886619148,122644.88873411618
DALYs (Disability-Adjusted Life Years),Brazil,Male,50-54 years,All causes,High fasting plasma glucose,Number,1990,115961.89256508996,139537.63299795557,95775.22209085543
DALYs (Disability-Adjusted Life Years),Brazil,Female,50-54 years,All causes,High fasting plasma glucose,Number,1990,94788.11532819452,112643.35616944853,80567.39201701971
DALYs (Disability-Adjusted Life Years),Brazil,Both,50-54 years,All causes,High fasting plasma glucose,Number,1990,210750.00789328443,250181.08033133013,177003.40108014754
DALYs (Disability-Adjusted Life Years),Brazil,Male,55-59 years,All causes,High fasting plasma glucose,Number,1990,143949.82174738756,181134.99922870373,118020.90892043164
DALYs (Disability-Adjusted Life Years),Brazil,Female,55-59 years,All causes,High fasting plasma glucose,Number,1990,121829.7778487787,149825.86726559146,102610.50071052428
DALYs (Disability-Adjusted Life Years),Brazil,Both,55-59 years,All causes,High fasting plasma glucose,Number,1990,265779.59959616646,330033.82208682154,221643.4079904545
DALYs (Disability-Adjusted Life Years),Brazil,Male,60-64 years,All causes,High fasting plasma glucose,Number,1990,176244.4968598686,230739.40011288784,137867.16033290606
DALYs (Disability-Adjusted Life Years),Brazil,Female,60-64 years,All causes,High fasting plasma glucose,Number,1990,154418.47918517876,194091.09246594814,126019.55895769555
DALYs (Disability-Adjusted Life Years),Brazil,Both,60-64 years,All causes,High fasting plasma glucose,Number,1990,330662.97604504775,409438.8634354506,266200.0415438777
DALYs (Disability-Adjusted Life Years),Brazil,Male,65-69 years,All causes,High fasting plasma glucose,Number,1990,183660.84266805934,240193.82019317907,133956.78621419787
DALYs (Disability-Adjusted Life Years),Brazil,Female,65-69 years,All causes,High fasting plasma glucose,Number,1990,158074.0921195228,205537.56810896468,125946.6638365228
DALYs (Disability-Adjusted Life Years),Brazil,Both,65-69 years,All causes,High fasting plasma glucose,Number,1990,341734.93478758284,436913.2700301961,264615.86517772434
DALYs (Disability-Adjusted Life Years),Brazil,Male,70-74 years,All causes,High fasting plasma glucose,Number,1990,162894.59285397548,222635.8998038992,119366.65927589955
DALYs (Disability-Adjusted Life Years),Peru,Male,70-74 years,All causes,High fasting plasma glucose,Number,1990,8033.491362973077,10162.802566183225,6178.128392425972
DALYs (Disability-Adjusted Life Years),Peru,Female,70-74 years,All causes,High fasting plasma glucose,Number,1990,7078.652977990637,8857.187937450204,5613.591338417975
DALYs (Disability-Adjusted Life Years),Peru,Both,70-74 years,All causes,High fasting plasma glucose,Number,1990,15112.144340963718,18719.27519624403,12103.190200945939
DALYs (Disability-Adjusted Life Years),Suriname,Male,30-34 years,All causes,High fasting plasma glucose,Number,1990,112.48635460908844,152.5258149965336,77.85100401319639
DALYs (Disability-Adjusted Life Years),Suriname,Female,30-34 years,All causes,High fasting plasma glucose,Number,1990,83.28291985362827,105.8678244541248,61.61788041837188
DALYs (Disability-Adjusted Life Years),Suriname,Both,30-34 years,All causes,High fasting plasma glucose,Number,1990,195.769274462717,249.7664678233281,145.65558673762257
DALYs (Disability-Adjusted Life Years),Suriname,Male,35-39 years,All causes,High fasting plasma glucose,Number,1990,153.84528540213842,203.49047404217313,113.14382300482247
DALYs (Disability-Adjusted Life Years),Suriname,Female,35-39 years,All causes,High fasting plasma glucose,Number,1990,115.2789809741278,146.13250612548958,85.53650360240431
DALYs (Disability-Adjusted Life Years),Suriname,Both,35-39 years,All causes,High fasting plasma glucose,Number,1990,269.1242663762663,339.20232718572413,203.15140446502102
DALYs (Disability-Adjusted Life Years),Suriname,Male,40-44 years,All causes,High fasting plasma glucose,Number,1990,188.66077246014407,249.21519792879894,141.51966813524325
DALYs (Disability-Adjusted Life Years),Suriname,Female,40-44 years,All causes,High fasting plasma glucose,Number,1990,141.41335396498866,176.0959299711483,108.01884434190652
DALYs (Disability-Adjusted Life Years),Suriname,Both,40-44 years,All causes,High fasting plasma glucose,Number,1990,330.0741264251329,417.1015967279983,258.28067853552307
DALYs (Disability-Adjusted Life Years),Suriname,Male,45-49 years,All causes,High fasting plasma glucose,Number,1990,285.13838975017586,358.9615700081482,219.73548263651702
DALYs (Disability-Adjusted Life Years),Suriname,Female,45-49 years,All causes,High fasting plasma glucose,Number,1990,218.83520444795738,270.4291254545934,170.27436093130171
